"","Subject","Condition","word","wordType","grammarType","trial","nounAnswer","nounAnswer2","accuracy","rt"
"136","AAM02","AAM","gasolinestep11","critical","noun",3,1,"noun",1,800
"137","AAM02","AAM","global","filler","notNoun",89,0,"notNoun",1,1700
"138","AAM02","AAM","grapple","filler","notNoun",23,0,"notNoun",1,2184
"139","AAM02","AAM","guilty","filler","notNoun",38,0,"notNoun",1,888
"140","AAM02","AAM","gullible","filler","notNoun",47,0,"notNoun",1,648
"141","AAM02","AAM","hamburger","filler","noun",14,1,"noun",1,966
"142","AAM02","AAM","harmful","filler","notNoun",37,0,"notNoun",1,1111
"143","AAM02","AAM","hidden","filler","notNoun",60,0,"notNoun",1,1154
"144","AAM02","AAM","honeymoon","filler","noun",65,0,"notNoun",0,1290
"145","AAM02","AAM","human","filler","noun",17,1,"noun",1,703
"146","AAM02","AAM","ignore","filler","notNoun",29,0,"notNoun",1,818
"147","AAM02","AAM","image","filler","noun",73,1,"noun",1,973
"148","AAM02","AAM","immoral","filler","notNoun",9,0,"notNoun",1,1006
"149","AAM02","AAM","immune","filler","notNoun",92,0,"notNoun",1,2511
"150","AAM02","AAM","ironic","filler","notNoun",45,0,"notNoun",1,1044
"151","AAM02","AAM","kidnap","filler","notNoun",31,0,"notNoun",1,1005
"152","AAM02","AAM","lawyer","filler","noun",2,1,"noun",1,917
"153","AAM02","AAM","lunatic","filler","notNoun",83,1,"noun",0,1828
"154","AAM02","AAM","manually","filler","notNoun",96,0,"notNoun",1,1082
"155","AAM02","AAM","marina","filler","noun",44,1,"noun",1,1095
"156","AAM02","AAM","military","filler","noun",35,1,"noun",1,910
"157","AAM02","AAM","mineral","filler","noun",52,1,"noun",1,979
"158","AAM02","AAM","momentary","filler","notNoun",28,0,"notNoun",1,1468
"159","AAM02","AAM","occupy","filler","notNoun",46,0,"notNoun",1,1118
"160","AAM02","AAM","omelet","filler","noun",19,1,"noun",1,977
"161","AAM02","AAM","opaque","filler","notNoun",62,0,"notNoun",1,1575
"162","AAM02","AAM","orbital","filler","notNoun",67,0,"notNoun",1,914
"163","AAM02","AAM","overcome","filler","notNoun",93,0,"notNoun",1,960
"164","AAM02","AAM","parable","filler","noun",56,0,"notNoun",0,1560
"165","AAM02","AAM","parrot","filler","noun",5,1,"noun",1,794
"166","AAM02","AAM","pineapple","filler","noun",7,1,"noun",1,935
"167","AAM02","AAM","recovery","filler","noun",39,0,"notNoun",0,1235
"168","AAM02","AAM","regular","filler","notNoun",54,0,"notNoun",1,1883
"169","AAM02","AAM","relate","filler","notNoun",90,0,"notNoun",1,1298
"170","AAM02","AAM","remedial","filler","notNoun",49,0,"notNoun",1,1280
"171","AAM02","AAM","remind","filler","notNoun",18,0,"notNoun",1,947
"172","AAM02","AAM","romantic","filler","notNoun",79,0,"notNoun",1,1144
"173","AAM02","AAM","royalty","filler","noun",72,1,"noun",1,2082
"174","AAM02","AAM","sabrestep10","critical","noun",50,0,"notNoun",0,2250
"175","AAM02","AAM","saltystep14","critical","notNoun",34,0,"notNoun",1,1586
"176","AAM02","AAM","sandalstep11","critical","noun",11,1,"noun",1,1005
"177","AAM02","AAM","seaweedstep12","critical","noun",16,1,"noun",1,1250
"178","AAM02","AAM","secludedstep10","critical","notNoun",0,0,"notNoun",1,1227
"179","AAM02","AAM","secondstep11","critical","noun",51,0,"notNoun",0,1308
"180","AAM02","AAM","severalstep9","critical","notNoun",36,0,"notNoun",1,1487
"181","AAM02","AAM","sidewalkstep8","critical","noun",8,1,"noun",1,2129
"182","AAM02","AAM","silverstep10","critical","noun",26,1,"noun",1,943
"183","AAM02","AAM","similarstep10","critical","notNoun",12,0,"notNoun",1,1422
"184","AAM02","AAM","solidstep12","critical","notNoun",53,1,"noun",0,1319
"185","AAM02","AAM","submarinestep10","critical","noun",22,1,"noun",1,1429
"186","AAM02","AAM","sufferstep8","critical","notNoun",97,0,"notNoun",1,946
"187","AAM02","AAM","superpowerstep12","critical","noun",41,0,"notNoun",0,1210
"188","AAM02","AAM","surrenderstep8","critical","notNoun",43,0,"notNoun",1,923
"189","AAM02","AAM","tobacco","filler","noun",77,1,"noun",1,1043
"190","AAM02","AAM","totally","filler","notNoun",91,0,"notNoun",1,1295
"191","AAM02","AAM","tutorial","filler","noun",85,0,"notNoun",0,991
"192","AAM02","AAM","typical","filler","notNoun",95,0,"notNoun",1,758
"193","AAM02","AAM","umbrella","filler","noun",66,1,"noun",1,771
"194","AAM02","AAM","unique","filler","notNoun",61,0,"notNoun",1,1267
"195","AAM02","AAM","vibrant","filler","notNoun",87,0,"notNoun",1,984
"196","AAM02","AAM","warrantee","filler","noun",71,1,"noun",1,1813
"197","AAM02","AAM","weekly","filler","notNoun",64,0,"notNoun",1,1020
"198","AAM02","AAM","wrinkle","filler","noun",40,0,"notNoun",0,922
"199","AAM02","AAM","yell","filler","notNoun",63,1,"noun",0,1054
"200","AAM02","AAM","yoghurt","filler","noun",10,1,"noun",1,1172
"201","AAM03","AAM","acerbicstep12","critical","notNoun",51,0,"notNoun",1,1821
"202","AAM03","AAM","alone","filler","notNoun",81,0,"notNoun",1,1555
"203","AAM03","AAM","america","filler","noun",87,1,"noun",1,1353
"204","AAM03","AAM","anemia","filler","noun",67,1,"noun",1,1631
"205","AAM03","AAM","animal","filler","noun",29,1,"noun",1,969
"206","AAM03","AAM","annoying","filler","notNoun",79,0,"notNoun",1,1040
"207","AAM03","AAM","appear","filler","notNoun",2,0,"notNoun",1,1355
"208","AAM03","AAM","around","filler","notNoun",19,1,"noun",0,1444
"209","AAM03","AAM","avenue","filler","noun",78,1,"noun",1,1695
"210","AAM03","AAM","bakery","filler","noun",96,1,"noun",1,831
"211","AAM03","AAM","ballerina","filler","noun",43,1,"noun",1,845
"212","AAM03","AAM","basementstep11","critical","noun",18,1,"noun",1,953
"213","AAM03","AAM","beauty","filler","noun",59,0,"notNoun",0,984
"214","AAM03","AAM","become","filler","notNoun",73,0,"notNoun",1,1252
"215","AAM03","AAM","brain","filler","noun",0,1,"noun",1,1004
"216","AAM03","AAM","camera","filler","noun",26,1,"noun",1,945
"217","AAM03","AAM","casserolestep12","critical","noun",54,1,"noun",1,1179
"218","AAM03","AAM","ciderstep9","critical","noun",4,1,"noun",1,1057
"219","AAM03","AAM","degree","filler","noun",23,1,"noun",1,1311
"220","AAM03","AAM","depend","filler","notNoun",58,0,"notNoun",1,1657
"221","AAM03","AAM","develop","filler","notNoun",25,0,"notNoun",1,1169
"222","AAM03","AAM","document","filler","noun",11,1,"noun",1,1062
"223","AAM03","AAM","dragon","filler","noun",92,1,"noun",1,1323
"224","AAM03","AAM","embody","filler","notNoun",80,0,"notNoun",1,1413
"225","AAM03","AAM","energy","filler","noun",30,1,"noun",1,1520
"226","AAM03","AAM","engine","filler","noun",72,1,"noun",1,1235
"227","AAM03","AAM","enroll","filler","notNoun",22,0,"notNoun",1,1244
"228","AAM03","AAM","eternal","filler","notNoun",33,0,"notNoun",1,1200
"229","AAM03","AAM","evolve","filler","notNoun",13,0,"notNoun",1,1549
"230","AAM03","AAM","failure","filler","noun",49,1,"noun",1,1225
"231","AAM03","AAM","family","filler","noun",5,1,"noun",1,1097
"232","AAM03","AAM","felony","filler","noun",3,1,"noun",1,1788
"233","AAM03","AAM","freeze","filler","notNoun",36,0,"notNoun",1,1916
"234","AAM03","AAM","fumble","filler","notNoun",60,0,"notNoun",1,1046
"235","AAM03","AAM","garden","filler","noun",32,1,"noun",1,1444
"236","AAM03","AAM","gasolinestep11","critical","noun",82,1,"noun",1,1174
"237","AAM03","AAM","global","filler","notNoun",8,0,"notNoun",1,1406
"238","AAM03","AAM","grapple","filler","notNoun",50,0,"notNoun",1,1819
"239","AAM03","AAM","guilty","filler","notNoun",56,0,"notNoun",1,1474
"240","AAM03","AAM","gullible","filler","notNoun",93,0,"notNoun",1,902
"241","AAM03","AAM","hamburger","filler","noun",46,1,"noun",1,1046
"242","AAM03","AAM","harmful","filler","notNoun",68,0,"notNoun",1,2058
"243","AAM03","AAM","hidden","filler","notNoun",52,1,"noun",0,1755
"244","AAM03","AAM","honeymoon","filler","noun",94,1,"noun",1,1452
"245","AAM03","AAM","human","filler","noun",6,1,"noun",1,1503
"246","AAM03","AAM","ignore","filler","notNoun",75,0,"notNoun",1,1036
"247","AAM03","AAM","image","filler","noun",66,1,"noun",1,968
"248","AAM03","AAM","immoral","filler","notNoun",70,0,"notNoun",1,1547
"249","AAM03","AAM","immune","filler","notNoun",48,0,"notNoun",1,2431
"250","AAM03","AAM","ironic","filler","notNoun",44,0,"notNoun",1,1594
"251","AAM03","AAM","kidnap","filler","notNoun",12,0,"notNoun",1,1469
"252","AAM03","AAM","lawyer","filler","noun",55,1,"noun",1,1142
"253","AAM03","AAM","lunatic","filler","notNoun",90,1,"noun",0,1282
"254","AAM03","AAM","manually","filler","notNoun",77,0,"notNoun",1,1263
"255","AAM03","AAM","marina","filler","noun",63,0,"notNoun",0,1396
"256","AAM03","AAM","military","filler","noun",1,1,"noun",1,1008
"257","AAM03","AAM","mineral","filler","noun",35,1,"noun",1,1005
"258","AAM03","AAM","momentary","filler","notNoun",97,0,"notNoun",1,1519
"259","AAM03","AAM","occupy","filler","notNoun",47,0,"notNoun",1,1638
"260","AAM03","AAM","omelet","filler","noun",27,1,"noun",1,836
"261","AAM03","AAM","opaque","filler","notNoun",85,0,"notNoun",1,1409
"262","AAM03","AAM","orbital","filler","notNoun",37,1,"noun",0,1488
"263","AAM03","AAM","overcome","filler","notNoun",76,0,"notNoun",1,1427
"264","AAM03","AAM","parable","filler","noun",99,0,"notNoun",0,1248
"265","AAM03","AAM","parrot","filler","noun",31,1,"noun",1,846
"266","AAM03","AAM","pineapple","filler","noun",34,1,"noun",1,1361
"267","AAM03","AAM","recovery","filler","noun",28,1,"noun",1,2390
"268","AAM03","AAM","regular","filler","notNoun",88,0,"notNoun",1,1427
"269","AAM03","AAM","relate","filler","notNoun",17,0,"notNoun",1,1285
"270","AAM03","AAM","remedial","filler","notNoun",71,0,"notNoun",1,1317
"271","AAM03","AAM","remind","filler","notNoun",61,0,"notNoun",1,937
"272","AAM03","AAM","romantic","filler","notNoun",40,0,"notNoun",1,1295
"273","AAM03","AAM","royalty","filler","noun",7,1,"noun",1,1835
"274","AAM03","AAM","sabrestep10","critical","noun",39,0,"notNoun",0,2137
"275","AAM03","AAM","saltystep14","critical","notNoun",62,0,"notNoun",1,1325
"276","AAM03","AAM","sandalstep11","critical","noun",83,1,"noun",1,1495
"277","AAM03","AAM","seaweedstep12","critical","noun",9,1,"noun",1,1255
"278","AAM03","AAM","secludedstep10","critical","notNoun",57,0,"notNoun",1,1939
"279","AAM03","AAM","secondstep11","critical","noun",98,0,"notNoun",0,1471
"280","AAM03","AAM","severalstep9","critical","notNoun",45,0,"notNoun",1,1848
"281","AAM03","AAM","sidewalkstep8","critical","noun",38,1,"noun",1,1276
"282","AAM03","AAM","silverstep10","critical","noun",89,1,"noun",1,1139
"283","AAM03","AAM","similarstep10","critical","notNoun",69,0,"notNoun",1,1276
"284","AAM03","AAM","solidstep12","critical","notNoun",84,0,"notNoun",1,1586
"285","AAM03","AAM","submarinestep10","critical","noun",14,1,"noun",1,1083
"286","AAM03","AAM","sufferstep8","critical","notNoun",21,0,"notNoun",1,1203
"288","AAM03","AAM","surrenderstep8","critical","notNoun",53,0,"notNoun",1,1122
"289","AAM03","AAM","tobacco","filler","noun",64,1,"noun",1,1222
"290","AAM03","AAM","totally","filler","notNoun",15,0,"notNoun",1,1073
"291","AAM03","AAM","tutorial","filler","noun",41,1,"noun",1,1491
"292","AAM03","AAM","typical","filler","notNoun",42,0,"notNoun",1,1062
"293","AAM03","AAM","umbrella","filler","noun",10,1,"noun",1,1018
"294","AAM03","AAM","unique","filler","notNoun",74,0,"notNoun",1,1414
"295","AAM03","AAM","vibrant","filler","notNoun",16,0,"notNoun",1,1298
"296","AAM03","AAM","warrantee","filler","noun",65,1,"noun",1,1689
"297","AAM03","AAM","weekly","filler","notNoun",86,0,"notNoun",1,1609
"298","AAM03","AAM","wrinkle","filler","noun",24,0,"notNoun",0,1033
"299","AAM03","AAM","yell","filler","notNoun",91,1,"noun",0,1309
"300","AAM03","AAM","yoghurt","filler","noun",95,1,"noun",1,904
"301","AAM04","AAM","acerbicstep12","critical","notNoun",51,0,"notNoun",1,1159
"302","AAM04","AAM","alone","filler","notNoun",81,0,"notNoun",1,1254
"303","AAM04","AAM","america","filler","noun",87,1,"noun",1,2330
"304","AAM04","AAM","anemia","filler","noun",67,0,"notNoun",0,1324
"305","AAM04","AAM","animal","filler","noun",29,1,"noun",1,1017
"306","AAM04","AAM","annoying","filler","notNoun",79,0,"notNoun",1,1221
"307","AAM04","AAM","appear","filler","notNoun",2,0,"notNoun",1,1318
"308","AAM04","AAM","around","filler","notNoun",19,0,"notNoun",1,1761
"309","AAM04","AAM","avenue","filler","noun",78,1,"noun",1,1625
"310","AAM04","AAM","bakery","filler","noun",96,1,"noun",1,830
"311","AAM04","AAM","ballerina","filler","noun",43,1,"noun",1,873
"312","AAM04","AAM","basementstep11","critical","noun",18,1,"noun",1,1078
"313","AAM04","AAM","beauty","filler","noun",59,0,"notNoun",0,1421
"314","AAM04","AAM","become","filler","notNoun",73,0,"notNoun",1,1061
"315","AAM04","AAM","brain","filler","noun",0,1,"noun",1,867
"316","AAM04","AAM","camera","filler","noun",26,1,"noun",1,997
"317","AAM04","AAM","casserolestep12","critical","noun",54,0,"notNoun",0,865
"318","AAM04","AAM","ciderstep9","critical","noun",4,1,"noun",1,1082
"319","AAM04","AAM","degree","filler","noun",23,0,"notNoun",0,1073
"320","AAM04","AAM","depend","filler","notNoun",58,0,"notNoun",1,1285
"321","AAM04","AAM","develop","filler","notNoun",25,0,"notNoun",1,1594
"322","AAM04","AAM","document","filler","noun",11,1,"noun",1,2263
"323","AAM04","AAM","dragon","filler","noun",92,1,"noun",1,1368
"324","AAM04","AAM","embody","filler","notNoun",80,0,"notNoun",1,1739
"325","AAM04","AAM","energy","filler","noun",30,0,"notNoun",0,1909
"326","AAM04","AAM","engine","filler","noun",72,1,"noun",1,1375
"327","AAM04","AAM","enroll","filler","notNoun",22,0,"notNoun",1,1211
"328","AAM04","AAM","eternal","filler","notNoun",33,0,"notNoun",1,1033
"329","AAM04","AAM","evolve","filler","notNoun",13,0,"notNoun",1,1116
"330","AAM04","AAM","failure","filler","noun",49,0,"notNoun",0,1674
"331","AAM04","AAM","family","filler","noun",5,1,"noun",1,1854
"332","AAM04","AAM","felony","filler","noun",3,0,"notNoun",0,974
"333","AAM04","AAM","freeze","filler","notNoun",36,0,"notNoun",1,2475
"334","AAM04","AAM","fumble","filler","notNoun",60,0,"notNoun",1,1380
"335","AAM04","AAM","garden","filler","noun",32,1,"noun",1,2377
"336","AAM04","AAM","gasolinestep11","critical","noun",82,1,"noun",1,1675
"337","AAM04","AAM","global","filler","notNoun",8,0,"notNoun",1,1561
"338","AAM04","AAM","grapple","filler","notNoun",50,0,"notNoun",1,1599
"339","AAM04","AAM","guilty","filler","notNoun",56,0,"notNoun",1,1434
"340","AAM04","AAM","gullible","filler","notNoun",93,0,"notNoun",1,1101
"341","AAM04","AAM","hamburger","filler","noun",46,1,"noun",1,1026
"342","AAM04","AAM","harmful","filler","notNoun",68,0,"notNoun",1,1466
"343","AAM04","AAM","hidden","filler","notNoun",52,0,"notNoun",1,1252
"344","AAM04","AAM","honeymoon","filler","noun",94,0,"notNoun",0,1367
"345","AAM04","AAM","human","filler","noun",6,1,"noun",1,849
"346","AAM04","AAM","ignore","filler","notNoun",75,0,"notNoun",1,1005
"347","AAM04","AAM","image","filler","noun",66,1,"noun",1,1265
"348","AAM04","AAM","immoral","filler","notNoun",70,0,"notNoun",1,1268
"349","AAM04","AAM","immune","filler","notNoun",48,0,"notNoun",1,1224
"350","AAM04","AAM","ironic","filler","notNoun",44,0,"notNoun",1,1129
"351","AAM04","AAM","kidnap","filler","notNoun",12,0,"notNoun",1,1751
"352","AAM04","AAM","lawyer","filler","noun",55,1,"noun",1,896
"353","AAM04","AAM","lunatic","filler","notNoun",90,1,"noun",0,1048
"354","AAM04","AAM","manually","filler","notNoun",77,0,"notNoun",1,1791
"355","AAM04","AAM","marina","filler","noun",63,0,"notNoun",0,1617
"356","AAM04","AAM","military","filler","noun",1,0,"notNoun",0,1131
"357","AAM04","AAM","mineral","filler","noun",35,1,"noun",1,1570
"358","AAM04","AAM","momentary","filler","notNoun",97,0,"notNoun",1,1289
"359","AAM04","AAM","occupy","filler","notNoun",47,0,"notNoun",1,1037
"360","AAM04","AAM","omelet","filler","noun",27,1,"noun",1,1112
"361","AAM04","AAM","opaque","filler","notNoun",85,0,"notNoun",1,1389
"362","AAM04","AAM","orbital","filler","notNoun",37,0,"notNoun",1,1234
"363","AAM04","AAM","overcome","filler","notNoun",76,0,"notNoun",1,1292
"364","AAM04","AAM","parable","filler","noun",99,0,"notNoun",0,1344
"365","AAM04","AAM","parrot","filler","noun",31,1,"noun",1,837
"366","AAM04","AAM","pineapple","filler","noun",34,1,"noun",1,1243
"367","AAM04","AAM","recovery","filler","noun",28,0,"notNoun",0,1029
"368","AAM04","AAM","regular","filler","notNoun",88,0,"notNoun",1,1246
"369","AAM04","AAM","relate","filler","notNoun",17,0,"notNoun",1,1346
"370","AAM04","AAM","remedial","filler","notNoun",71,0,"notNoun",1,1606
"371","AAM04","AAM","remind","filler","notNoun",61,0,"notNoun",1,1419
"372","AAM04","AAM","romantic","filler","notNoun",40,0,"notNoun",1,1205
"373","AAM04","AAM","royalty","filler","noun",7,0,"notNoun",0,1866
"374","AAM04","AAM","sabrestep10","critical","noun",39,0,"notNoun",0,1201
"375","AAM04","AAM","saltystep14","critical","notNoun",62,0,"notNoun",1,1200
"376","AAM04","AAM","sandalstep11","critical","noun",83,1,"noun",1,898
"377","AAM04","AAM","seaweedstep12","critical","noun",9,0,"notNoun",0,1654
"378","AAM04","AAM","secludedstep10","critical","notNoun",57,0,"notNoun",1,1451
"379","AAM04","AAM","secondstep11","critical","noun",98,0,"notNoun",0,2205
"380","AAM04","AAM","severalstep9","critical","notNoun",45,0,"notNoun",1,1797
"381","AAM04","AAM","sidewalkstep8","critical","noun",38,1,"noun",1,1432
"382","AAM04","AAM","silverstep10","critical","noun",89,0,"notNoun",0,1121
"383","AAM04","AAM","similarstep10","critical","notNoun",69,0,"notNoun",1,1310
"384","AAM04","AAM","solidstep12","critical","notNoun",84,0,"notNoun",1,1378
"385","AAM04","AAM","submarinestep10","critical","noun",14,1,"noun",1,1173
"386","AAM04","AAM","sufferstep8","critical","notNoun",21,0,"notNoun",1,1236
"387","AAM04","AAM","superpowerstep12","critical","noun",20,0,"notNoun",0,1794
"388","AAM04","AAM","surrenderstep8","critical","notNoun",53,0,"notNoun",1,1115
"389","AAM04","AAM","tobacco","filler","noun",64,0,"notNoun",0,1482
"390","AAM04","AAM","totally","filler","notNoun",15,0,"notNoun",1,1295
"391","AAM04","AAM","tutorial","filler","noun",41,0,"notNoun",0,1182
"392","AAM04","AAM","typical","filler","notNoun",42,0,"notNoun",1,970
"393","AAM04","AAM","umbrella","filler","noun",10,0,"notNoun",0,1557
"394","AAM04","AAM","unique","filler","notNoun",74,0,"notNoun",1,1143
"395","AAM04","AAM","vibrant","filler","notNoun",16,0,"notNoun",1,1711
"396","AAM04","AAM","warrantee","filler","noun",65,0,"notNoun",0,1423
"397","AAM04","AAM","weekly","filler","notNoun",86,0,"notNoun",1,1272
"398","AAM04","AAM","wrinkle","filler","noun",24,0,"notNoun",0,1692
"399","AAM04","AAM","yell","filler","notNoun",91,0,"notNoun",1,1251
"400","AAM04","AAM","yoghurt","filler","noun",95,1,"noun",1,1773
"401","AAM05","AAM","acerbicstep12","critical","notNoun",2,0,"notNoun",1,1038
"402","AAM05","AAM","alone","filler","notNoun",37,0,"notNoun",1,873
"403","AAM05","AAM","america","filler","noun",60,1,"noun",1,943
"404","AAM05","AAM","anemia","filler","noun",82,0,"notNoun",0,741
"405","AAM05","AAM","animal","filler","noun",77,1,"noun",1,748
"406","AAM05","AAM","annoying","filler","notNoun",39,1,"noun",0,681
"407","AAM05","AAM","appear","filler","notNoun",46,0,"notNoun",1,958
"408","AAM05","AAM","around","filler","notNoun",5,1,"noun",0,990
"409","AAM05","AAM","avenue","filler","noun",45,1,"noun",1,764
"410","AAM05","AAM","bakery","filler","noun",16,1,"noun",1,1144
"411","AAM05","AAM","ballerina","filler","noun",80,1,"noun",1,815
"412","AAM05","AAM","basementstep11","critical","noun",49,1,"noun",1,827
"413","AAM05","AAM","beauty","filler","noun",97,0,"notNoun",0,1308
"414","AAM05","AAM","become","filler","notNoun",33,0,"notNoun",1,1244
"415","AAM05","AAM","brain","filler","noun",0,1,"noun",1,822
"416","AAM05","AAM","camera","filler","noun",18,1,"noun",1,1081
"417","AAM05","AAM","casserolestep12","critical","noun",54,1,"noun",1,1065
"418","AAM05","AAM","ciderstep9","critical","noun",69,1,"noun",1,951
"419","AAM05","AAM","degree","filler","noun",19,1,"noun",1,1254
"420","AAM05","AAM","depend","filler","notNoun",24,0,"notNoun",1,1308
"421","AAM05","AAM","develop","filler","notNoun",65,0,"notNoun",1,1351
"422","AAM05","AAM","document","filler","noun",90,0,"notNoun",0,1267
"423","AAM05","AAM","dragon","filler","noun",89,1,"noun",1,619
"424","AAM05","AAM","embody","filler","notNoun",25,0,"notNoun",1,899
"425","AAM05","AAM","energy","filler","noun",72,1,"noun",1,1336
"426","AAM05","AAM","engine","filler","noun",42,1,"noun",1,1098
"427","AAM05","AAM","enroll","filler","notNoun",75,0,"notNoun",1,778
"428","AAM05","AAM","eternal","filler","notNoun",68,0,"notNoun",1,956
"429","AAM05","AAM","evolve","filler","notNoun",21,0,"notNoun",1,916
"430","AAM05","AAM","failure","filler","noun",81,1,"noun",1,700
"431","AAM05","AAM","family","filler","noun",11,1,"noun",1,885
"432","AAM05","AAM","felony","filler","noun",86,0,"notNoun",0,845
"433","AAM05","AAM","freeze","filler","notNoun",9,0,"notNoun",1,1073
"434","AAM05","AAM","fumble","filler","notNoun",12,0,"notNoun",1,926
"435","AAM05","AAM","garden","filler","noun",98,1,"noun",1,1011
"436","AAM05","AAM","gasolinestep11","critical","noun",91,1,"noun",1,1250
"437","AAM05","AAM","global","filler","notNoun",62,0,"notNoun",1,1336
"438","AAM05","AAM","grapple","filler","notNoun",71,0,"notNoun",1,780
"439","AAM05","AAM","guilty","filler","notNoun",13,0,"notNoun",1,816
"440","AAM05","AAM","gullible","filler","notNoun",66,0,"notNoun",1,746
"441","AAM05","AAM","hamburger","filler","noun",78,1,"noun",1,793
"442","AAM05","AAM","harmful","filler","notNoun",99,0,"notNoun",1,2212
"443","AAM05","AAM","hidden","filler","notNoun",14,0,"notNoun",1,711
"444","AAM05","AAM","honeymoon","filler","noun",95,1,"noun",1,877
"445","AAM05","AAM","human","filler","noun",85,1,"noun",1,750
"446","AAM05","AAM","ignore","filler","notNoun",47,0,"notNoun",1,869
"447","AAM05","AAM","image","filler","noun",34,1,"noun",1,1029
"448","AAM05","AAM","immoral","filler","notNoun",67,0,"notNoun",1,749
"449","AAM05","AAM","immune","filler","notNoun",26,1,"noun",0,813
"450","AAM05","AAM","ironic","filler","notNoun",40,0,"notNoun",1,940
"451","AAM05","AAM","kidnap","filler","notNoun",52,0,"notNoun",1,1052
"452","AAM05","AAM","lawyer","filler","noun",7,1,"noun",1,929
"453","AAM05","AAM","lunatic","filler","notNoun",63,1,"noun",0,1020
"454","AAM05","AAM","manually","filler","notNoun",94,0,"notNoun",1,1051
"455","AAM05","AAM","marina","filler","noun",29,1,"noun",1,860
"456","AAM05","AAM","military","filler","noun",83,1,"noun",1,1300
"457","AAM05","AAM","mineral","filler","noun",41,1,"noun",1,760
"458","AAM05","AAM","momentary","filler","notNoun",8,0,"notNoun",1,1003
"459","AAM05","AAM","occupy","filler","notNoun",76,0,"notNoun",1,866
"460","AAM05","AAM","omelet","filler","noun",87,1,"noun",1,820
"461","AAM05","AAM","opaque","filler","notNoun",35,0,"notNoun",1,786
"462","AAM05","AAM","orbital","filler","notNoun",59,1,"noun",0,1101
"463","AAM05","AAM","overcome","filler","notNoun",3,0,"notNoun",1,1178
"464","AAM05","AAM","parable","filler","noun",30,1,"noun",1,961
"465","AAM05","AAM","parrot","filler","noun",17,1,"noun",1,797
"466","AAM05","AAM","pineapple","filler","noun",84,1,"noun",1,918
"467","AAM05","AAM","recovery","filler","noun",22,0,"notNoun",0,1332
"468","AAM05","AAM","regular","filler","notNoun",57,1,"noun",0,1016
"469","AAM05","AAM","relate","filler","notNoun",56,0,"notNoun",1,1143
"470","AAM05","AAM","remedial","filler","notNoun",55,0,"notNoun",1,728
"471","AAM05","AAM","remind","filler","notNoun",1,0,"notNoun",1,822
"472","AAM05","AAM","romantic","filler","notNoun",10,0,"notNoun",1,907
"473","AAM05","AAM","royalty","filler","noun",73,1,"noun",1,1235
"474","AAM05","AAM","sabrestep10","critical","noun",88,1,"noun",1,1146
"475","AAM05","AAM","saltystep14","critical","notNoun",15,0,"notNoun",1,876
